"Index Num","Asylum Data",Year,Age,Sex,"Country of Asylum"
126,0,2016,"From 14 to 15 years",Females,Austria
127,0,2016,"From 14 to 15 years",Females,Austria
128,0,2016,"From 14 to 15 years",Females,Austria
129,20,2016,"From 14 to 15 years",Females,Austria
130,10,2016,"From 14 to 15 years",Females,Austria
131,15,2016,"From 14 to 15 years",Females,Austria
132,0,2016,"From 14 to 15 years",Females,Austria
133,0,2016,"From 14 to 15 years",Females,Austria
134,0,2016,"From 14 to 15 years",Females,Austria
135,385,2016,"From 14 to 15 years",Females,Austria
136,135,2016,"From 14 to 15 years",Females,Austria
137,70,2016,"From 14 to 15 years",Females,Austria
138,0,2016,"From 14 to 15 years",Females,Austria
139,0,2016,"From 14 to 15 years",Females,Austria
140,0,2016,"From 14 to 15 years",Females,Austria
141,5,2016,"From 14 to 15 years",Females,Austria
142,0,2016,"From 14 to 15 years",Females,Austria
143,0,2016,"From 14 to 15 years",Females,Austria
144,0,2016,"From 14 to 15 years",Females,Austria
145,0,2016,"From 14 to 15 years",Females,Austria
146,0,2016,"From 14 to 15 years",Females,Austria
147,0,2016,"From 14 to 15 years",Females,Austria
148,0,2016,"From 14 to 15 years",Females,Austria
149,0,2016,"From 14 to 15 years",Females,Austria
150,0,2016,"From 14 to 15 years",Females,Austria
151,0,2016,"From 14 to 15 years",Females,Austria
152,0,2016,"From 14 to 15 years",Females,Austria
153,0,2016,"From 14 to 15 years",Females,Austria
154,0,2016,"From 14 to 15 years",Females,Austria
155,0,2016,"From 14 to 15 years",Females,Austria
156,0,2016,"From 14 to 15 years",Females,Austria
157,0,2016,"From 14 to 15 years",Females,Austria
158,0,2016,"From 14 to 15 years",Females,Austria
159,0,2016,"From 14 to 15 years",Females,Austria
160,0,2016,"From 14 to 15 years",Females,Austria
161,0,2016,"From 14 to 15 years",Females,Austria
162,0,2016,"From 14 to 15 years",Females,Austria
163,0,2016,"From 14 to 15 years",Females,Austria
164,0,2016,"From 14 to 15 years",Females,Austria
165,0,2016,"From 14 to 15 years",Females,Austria
166,0,2016,"From 14 to 15 years",Females,Austria
167,0,2016,"From 14 to 15 years",Females,Austria
168,0,2016,"From 14 to 15 years",Females,Austria
169,0,2016,"From 14 to 15 years",Females,Austria
170,0,2016,"From 14 to 15 years",Females,Austria
171,0,2016,"From 14 to 15 years",Females,Austria
172,0,2016,"From 14 to 15 years",Females,Austria
173,0,2016,"From 14 to 15 years",Females,Austria
174,10,2016,"From 14 to 15 years",Females,Austria
175,5,2016,"From 14 to 15 years",Females,Austria
176,0,2016,"From 14 to 15 years",Females,Austria
177,5,2016,"From 14 to 15 years",Females,Austria
178,0,2016,"From 14 to 15 years",Females,Austria
179,0,2016,"From 14 to 15 years",Females,Austria
180,0,2016,"From 14 to 15 years",Females,Austria
181,0,2016,"From 14 to 15 years",Females,Austria
182,0,2016,"From 14 to 15 years",Females,Austria
183,0,2016,"From 14 to 15 years",Females,Austria
184,0,2016,"From 14 to 15 years",Females,Austria
185,0,2016,"From 14 to 15 years",Females,Austria
186,0,2016,"From 14 to 15 years",Females,Austria
187,0,2016,"From 14 to 15 years",Females,Austria
188,0,2016,"From 14 to 15 years",Females,Austria
189,30,2016,"From 14 to 15 years",Females,Austria
190,15,2016,"From 14 to 15 years",Females,Austria
191,15,2016,"From 14 to 15 years",Females,Austria
192,0,2016,"From 14 to 15 years",Females,Austria
193,0,2016,"From 14 to 15 years",Females,Austria
194,0,2016,"From 14 to 15 years",Females,Austria
195,0,2016,"From 14 to 15 years",Females,Austria
196,0,2016,"From 14 to 15 years",Females,Austria
197,0,2016,"From 14 to 15 years",Females,Austria
198,400,2016,"From 14 to 15 years",Females,Austria
199,145,2016,"From 14 to 15 years",Females,Austria
200,80,2016,"From 14 to 15 years",Females,Austria
201,5,2016,"From 14 to 15 years",Females,Austria
202,0,2016,"From 14 to 15 years",Females,Austria
203,0,2016,"From 14 to 15 years",Females,Austria
204,815,2016,"From 14 to 15 years",Females,Austria
205,225,2016,"From 14 to 15 years",Females,Austria
206,60,2016,"From 14 to 15 years",Females,Austria
207,275,2016,"From 14 to 15 years",Females,Austria
208,120,2016,"From 14 to 15 years",Females,Austria
209,95,2016,"From 14 to 15 years",Females,Austria
210,730,2016,"From 14 to 15 years",Females,Austria
211,115,2016,"From 14 to 15 years",Females,Austria
212,105,2016,"From 14 to 15 years",Females,Austria
213,125,2016,"From 14 to 15 years",Females,Austria
214,55,2016,"From 14 to 15 years",Females,Austria
215,25,2016,"From 14 to 15 years",Females,Austria
216,0,2016,"From 14 to 15 years",Females,Austria
217,0,2016,"From 14 to 15 years",Females,Austria
218,0,2016,"From 14 to 15 years",Females,Austria
219,0,2016,"From 14 to 15 years",Females,Austria
220,0,2016,"From 14 to 15 years",Females,Austria
221,0,2016,"From 14 to 15 years",Females,Austria
222,2820,2016,"From 14 to 15 years",Females,Austria
223,320,2016,"From 14 to 15 years",Females,Austria
224,115,2016,"From 14 to 15 years",Females,Austria
