"Index Num","Country of Origin","Country of Origin-ISO2","Monthly Asylum Data",Year,Month,Age,Sex,"Country of Asylum"
85,Afghanistan,AF,0,2019,10,Total,Females,Lithuania
86,Afghanistan,AF,0,2019,11,Total,Females,Lithuania
87,Afghanistan,AF,0,2019,12,Total,Females,Lithuania
88,Afghanistan,AF,5,2019,09,Total,Females,Luxembourg
89,Afghanistan,AF,0,2019,10,Total,Females,Luxembourg
90,Afghanistan,AF,10,2019,11,Total,Females,Luxembourg
91,Afghanistan,AF,5,2019,12,Total,Females,Luxembourg
92,Afghanistan,AF,5,2019,09,Total,Females,Latvia
93,Afghanistan,AF,0,2019,10,Total,Females,Latvia
94,Afghanistan,AF,0,2019,11,Total,Females,Latvia
95,Afghanistan,AF,0,2019,12,Total,Females,Latvia
96,Afghanistan,AF,0,2019,09,Total,Females,Malta
97,Afghanistan,AF,0,2019,10,Total,Females,Malta
98,Afghanistan,AF,0,2019,11,Total,Females,Malta
99,Afghanistan,AF,0,2019,12,Total,Females,Malta
100,Afghanistan,AF,20,2019,09,Total,Females,Netherlands
101,Afghanistan,AF,10,2019,10,Total,Females,Netherlands
102,Afghanistan,AF,10,2019,11,Total,Females,Netherlands
103,Afghanistan,AF,20,2019,12,Total,Females,Netherlands
104,Afghanistan,AF,5,2019,09,Total,Females,Norway
105,Afghanistan,AF,0,2019,10,Total,Females,Norway
106,Afghanistan,AF,0,2019,11,Total,Females,Norway
107,Afghanistan,AF,0,2019,12,Total,Females,Norway
108,Afghanistan,AF,0,2019,09,Total,Females,Poland
109,Afghanistan,AF,0,2019,10,Total,Females,Poland
110,Afghanistan,AF,0,2019,11,Total,Females,Poland
111,Afghanistan,AF,0,2019,12,Total,Females,Poland
112,Afghanistan,AF,0,2019,09,Total,Females,Portugal
113,Afghanistan,AF,0,2019,10,Total,Females,Portugal
114,Afghanistan,AF,0,2019,11,Total,Females,Portugal
115,Afghanistan,AF,0,2019,12,Total,Females,Portugal
116,Afghanistan,AF,0,2019,09,Total,Females,Romania
117,Afghanistan,AF,0,2019,10,Total,Females,Romania
118,Afghanistan,AF,5,2019,11,Total,Females,Romania
119,Afghanistan,AF,0,2019,12,Total,Females,Romania
120,Afghanistan,AF,45,2019,09,Total,Females,Sweden
121,Afghanistan,AF,25,2019,10,Total,Females,Sweden
122,Afghanistan,AF,30,2019,11,Total,Females,Sweden
123,Afghanistan,AF,30,2019,12,Total,Females,Sweden
124,Afghanistan,AF,0,2019,09,Total,Females,Slovenia
125,Afghanistan,AF,5,2019,10,Total,Females,Slovenia
126,Afghanistan,AF,0,2019,11,Total,Females,Slovenia
127,Afghanistan,AF,5,2019,12,Total,Females,Slovenia
128,Afghanistan,AF,0,2019,09,Total,Females,Slovakia
129,Afghanistan,AF,0,2019,10,Total,Females,Slovakia
130,Afghanistan,AF,0,2019,11,Total,Females,Slovakia
131,Afghanistan,AF,0,2019,12,Total,Females,Slovakia
132,Afghanistan,AF,1710,2019,09,Total,Females,Total
133,Afghanistan,AF,2235,2019,10,Total,Females,Total
134,Afghanistan,AF,2355,2019,11,Total,Females,Total
135,Afghanistan,AF,1990,2019,12,Total,Females,Total
136,Afghanistan,AF,75,2019,09,Total,Females,"United Kingdom"
137,Afghanistan,AF,50,2019,10,Total,Females,"United Kingdom"
138,Afghanistan,AF,30,2019,11,Total,Females,"United Kingdom"
139,Afghanistan,AF,25,2019,12,Total,Females,"United Kingdom"
140,Afghanistan,AF,0,2019,09,Unknown,Females,Austria
141,Afghanistan,AF,0,2019,10,Unknown,Females,Austria
